section,subsection,content,document_id,page
1_POLITICA_PRIVACIDAD,1.1_INTRODUCCION,"Política de Privacidad y Protección de Datos — Banco Digital de los Trabajadores (BDT). Última actualización: 15 de julio de 2026. En BDT, proteger la privacidad de nuestros usuarios es una prioridad fundamental. Esta política describe cómo recolectamos, utilizamos, almacenamos y compartimos tu información personal.",BDT_001,1
1_POLITICA_PRIVACIDAD,1.2_DATOS_RECOLECTADOS,"Recolectamos los siguientes tipos de datos: (1) Datos de identidad: nombre completo, cédula de identidad, correo electrónico, número de teléfono. (2) Datos financieros: número de cuenta, saldos, historial de transacciones, datos de tarjeta de débito/crédito. (3) Datos de comportamiento: ubicación de acceso, dispositivos utilizados, frecuencia de uso de la plataforma. (4) Datos biométricos: huella dactilar, reconocimiento facial (solo con consentimiento explícito).",BDT_001,2
1_POLITICA_PRIVACIDAD,1.3_SEGURIDAD_DATOS,Todos los datos se transmiten mediante encriptación TLS 1.3. Los servidores están ubicados en infraestructura OCI con certificación ISO 27001. Realizamos auditorías de seguridad trimestrales. Los datos de transacciones se retienen por 7 años según regulaciones SUDEBAN.,BDT_001,3
1_POLITICA_PRIVACIDAD,1.4_DERECHOS_USUARIO,Tienes derecho a: (1) Acceder a tus datos personales. (2) Rectificar información inexacta. (3) Solicitar la eliminación de datos (derecho al olvido). (4) Portabilidad de datos. (5) Revocar consentimientos. Contacta privacy@bdt.com.ve para ejercer derechos.,BDT_001,4
2_TERMINOS_CONDICIONES,2.1_ACEPTACION,"Al crear una cuenta en BDT, aceptas estos Términos y Condiciones en su totalidad. Si no estás de acuerdo, no debes usar la plataforma. Nos reservamos el derecho de modificar estos términos con 30 días de aviso previo.",BDT_002,1
2_TERMINOS_CONDICIONES,2.2_REQUISITOS_CUENTA,Debes tener 18 años o más. Debes ser residente legal de Venezuela. Debes proporcionar información verdadera y completa. No se permite tener múltiples cuentas. Violaciones resultarán en suspensión inmediata de cuenta.,BDT_002,2
2_TERMINOS_CONDICIONES,2.3_RESPONSABILIDADES_USUARIO,Eres responsable de mantener confidencial tu contraseña. Eres responsable de todas las actividades en tu cuenta. Debes notificar inmediatamente si sospechas acceso no autorizado. No debes usar la plataforma para actividades ilícitas.,BDT_002,3
2_TERMINOS_CONDICIONES,2.4_LIMITACION_RESPONSABILIDAD,BDT no es responsable por: (1) Pérdidas indirectas o consecuentes. (2) Interrupciones del servicio no debidas a negligencia. (3) Daños causados por terceros. Nuestra responsabilidad máxima es el saldo de tu cuenta.,BDT_002,4
3_TRANSACCIONES_LIMITES,3.1_LIMITES_DIARIOS,"Límite de transacciones enviadas: USD 5,000 diarios (usuarios nuevos: USD 500 primeros 30 días). Límite de transferencias: USD 10,000 diarios. Límite de retiros ATM: USD 2,000 diarios. Límites se incrementan automáticamente después de 90 días de buen comportamiento.",BDT_003,1
3_TRANSACCIONES_LIMITES,3.2_COMISIONES_TRANSACCIONES,Transferencia entre cuentas BDT: GRATIS. Transferencia a bancos venezolanos: 0.5% (mínimo Bs. 50). Transferencia internacional (USD): USD 2.50 + 1% del monto. Retiro ATM (BDT): GRATIS. Retiro ATM (otro banco): Bs. 100. Consulta de saldo: GRATIS.,BDT_003,2
3_TRANSACCIONES_LIMITES,3.3_TIEMPOS_PROCESAMIENTO,Transferencias BDT: inmediatas (< 1 segundo). Transferencias nacionales: 1-3 horas hábiles. Transferencias internacionales: 1-5 días hábiles. Los fines de semana y festivos pueden incrementar tiempos.,BDT_003,3
3_TRANSACCIONES_LIMITES,3.4_REVERSIONES_CANCELACIONES,"Transacciones completadas no pueden cancelarse. Si hay error, contacta a soporte@bdt.com.ve dentro de 48 horas. Procesamos investigaciones en 5-7 días hábiles. Si se comprueba error de BDT, reembolsamos en 2-3 días hábiles.",BDT_003,4
4_SEGURIDAD_FRAUDE,4.1_MEDIDAS_SEGURIDAD,(1) Autenticación de dos factores (2FA) obligatoria. (2) Encriptación de extremo a extremo en transacciones. (3) Monitoreo 24/7 de actividad sospechosa. (4) Biometría (huella/reconocimiento facial) en dispositivos móviles. (5) Tokens hardware disponibles bajo solicitud.,BDT_004,1
4_SEGURIDAD_FRAUDE,4.2_DETECCION_FRAUDE,Usamos machine learning para detectar patrones anómalos. Si detectamos actividad sospechosa: (1) Bloqueamos temporalmente la cuenta. (2) Te enviamos notificación inmediata. (3) Requerimos confirmación antes de continuar. Falsos positivos se resuelven en 24 horas.,BDT_004,2
